,,,,,,,Brewing,,,,Specific Gravity,,,,,,
Brewing Classic Styles,Triple-X,X,Sweet Stout,Orange Coriander Stout,,5,10/5/2013,10/15/2013,11/16/2013,,"6% potential ABV,
12.5balling,
1046.0
at 75F",1046,"3%, 6, 1022 at 70F",1022,3.12%,Add in zest of 6 oranges and 5-10 cardamom pods -- 11/16/13 yummm,http://sciencebrewer.com/2010/12/28/strange-brew-orange-cardamom-chocolate-porter/
Oak Barrel Winecraft,American Pale Ale (IPA),,IPA,,,5,7/21/2014,8/18/2014,11/17/2014,,"5.6% potential ABV,
10.5balling,
1042.0
at 75F",1042,"1% potential ABV,
2.5balling,
1010.0
at 75F",1010,4.21%,Added 2oz apollo hobs during last 15 minutes (should have waited to use until after fermenting).  Yeast starter with 2cups water and 1/2cup pale ale dme ,
Craig Danielson from Brewing Classic Styles,Black Scapular Dubbel,Blue/Black Caps,Belgian Dubbel,,,55,1/3/2015,"1/31/2015, 2/6/2015",2/21/2015,,N/A,1014,Dubbel OG 1.075. FG 1.014 8.1%abv,1014,0.00%,Brewed on Craigs giant 65 gallon setup as a prize from Doze,
Craig Danielson from Brewing Classic Styles,Strict Observance Trippel,Silver Caps,Belgian Trippel,,,10,1/3/2015,"1/31/2015, 2/6/2015",2/21/2015,,N/A,1016,Trippel OG 1.089 FG 1.016 9.7%,1016,0.00%,Built from the Belgian Dubbel,
Oak Barrel Winecraft,Kölsch Ale,K,Kölsch,,,5,7/30/2015,FAIL,,,"9.5, 4.8%, 1034.0 at 78deg",1034,,1034,0.00%,"Used a little tap water to get yeast out of bottle.

FAIL: Air lock broke two weeks in and we hadn't noticed.  Had to toss the beer.",
Brewing Classic Styles,California Common,CC,Amber Hybrid,Cement Shoes,,5,3/29/2016,4/13/2016,N/A,,"10.5, 5.2%,1042.0, at 72deg
salinity at 1066.0, 91%",1042,"3, 1.5%, 1011.0, at 72deg",1011,4.08%,"Boiled in two different pots to speed up first phase of boil.
First time using the recirculating cooler.
Note AA of hops is 7.0% and not 6.5% per recipe.
Using 2x yeast packets instead of making a starter.",
Oak Barrel Winecraft,Black Death Stout,S,Stout,The Reaper,,5,4/15/2016,5/14/2016,N/A,,"12, 6.0%, 1046.0, at 75º
11.2 brix, 1044.0",1046,"5, 2.5%, 1020.0 at 68deg",1020,3.39%,"Tried to repitch, didn't work at all.  Problem is probably that OG wasn't high enough and also didn't aerate the wort enough.  Temperature also didn't get down for fermentation. Probably fermented at 75F.",
The Brew Shop,Lunar Eclipse Red,L,Irish Red,Red-y for Summer,4,5,4/23/2017,5/17/2017,NA,"1.082 Refractometer
22, 11.2%, 1088.0 @ 69deg",1.053 Refractometer,1053,"1020, 1.032 refractometer at 70deg",1018,4.57%,Made a starter of 1L water & 85g Light DME about 24hours ahead of time and put it on a stir plate.  Started with 4 gallons and steeped grains until 160degF and then left it at 160-165degF for 30 minutes. At the end of that time the gravity was 1.017 at probably 3.6 gallons (grain took out water).  Took off heat to add extract and then brought to a boil at about 206degF.  Let it boil for 15 minutes before starting hop additions.  Ended up putting about 3.4 gallons in the fermenter at a gravity of 1.082.  I added approximately 6qts of water to bring it up to almost 5 gallons and a OG of 1.053.  The yeast added about a liter (or 1 quart) of volume as well (but the OG was measured before this addition).,
The Brew Shop,Yellow Moon IPA,Y,IPA,,4,5,5/29/2017,6/7/2017,NA,1.093 Refractometer,1.041 Refractometer,1041,"1022, 1.032 refractometer",1022,2.47%,Did a calculation after the specialty grains extract and figured out I was below target.  I miscalculated though and added only 1.5 lbs dme when I probably should have added 2.5 lbs.  This was a problem because I topped up my brew to 5 gallons at the end without doing a final measurement before fermenting.,
The Brew Shop,Scottish Amber,R,Scottish Amber,Kilty Amber,4,5,9/10/2017,9/23/2017,NA,,,,,,,,
